latitude,longitude,altitude,geometry,gestore,comune_ok,indirizzo,id
40.551288888,17.807055555,,Point,Wind Tre s.p.a.,Mesagne,Mesagne ---- Via per Torre Santa Susanna s.n.,3676
41.190361111,16.143944444,,Point,Vodafone Italia S.p.A.,Andria,Andria ---- Contrada San Domenico s.n.,3677
40.316016666,17.481147222,,Point,Wind Tre s.p.a.,Torricella,Torricella ---- Lungo Traversa S.P. 122 snc,3678
41.111205555,16.820222222,,Point,Vodafone Italia S.p.A.,Bari,Bari ---- Via Zippitelli 16,3679
41.111205555,16.820222222,,Point,Telecom Italia S.p.A.,Bari,Bari ---- Via Zippitelli 16,3680
40.607619444,17.538388888,,Point,Iliad Italia s.p.a,Ceglie Messapica,Ceglie Messapica ---- Contrada Votano Russo s.n.,3681
40.302083333,18.393027777,,Point,Iliad Italia s.p.a,Melendugno,Melendugno ---- Strada Provinciale Melendugno - San Foca snc,3682
41.125716666,16.546538888,,Point,Vodafone Italia S.p.A.,Terlizzi,Terlizzi ---- Via Mariotto - Strada Parallela Sottovia Mazzini snc,3683
41.125716666,16.546538888,,Point,Telecom Italia S.p.A.,Terlizzi,Terlizzi ---- Via Mariotto - Strada Parallela Sottovia Mazzini snc,3684
41.125716666,16.546538888,,Point,Wind Tre s.p.a.,Terlizzi,Terlizzi ---- Via Mariotto - Strada Parallela Sottovia Mazzini snc,3685
41.135319444,16.869058333,,Point,Telecom Italia S.p.A.,Bari,Bari ---- Via Banchina Porto snc,3686
40.783444444,17.190194444,,Point,Wind Tre s.p.a.,Noci,Noci ---- Contrada Traversa snc,3687
40.783444444,17.190194444,,Point,Iliad Italia s.p.a,Noci,Noci ---- Contrada Traversa snc,3688
41.628305555,15.917416666,,Point,Telecom Italia S.p.A.,Manfredonia,Manfredonia ---- Corso Manfredi 128,3689
41.119113888,16.817425,,Point,Vodafone Italia S.p.A.,Bari,Bari ---- Via Francesco Fuzio snc,3690
41.119113888,16.817425,,Point,Telecom Italia S.p.A.,Bari,Bari ---- Via Francesco Fuzio snc,3691
40.337188888,18.172830555,,Point,Iliad Italia s.p.a,Lecce,Lecce ---- Via Puccini 38,3692
40.337188888,18.172830555,,Point,Wind Tre s.p.a.,Lecce,Lecce ---- Via Puccini 38,3693
41.112444444,16.841194444,,Point,Telecom Italia S.p.A.,Bari,Bari ---- Via San Giorgio Martire n.d. (Fg. 26 P.lla 538),3694
41.112444444,16.841194444,,Point,Vodafone Italia S.p.A.,Bari,Bari ---- Via San Giorgio Martire n.d. (Fg. 26 P.lla 538),3695
41.114594444,16.799002777,,Point,Vodafone Italia S.p.A.,Bari,Bari ---- Via maestri del lavoro 4,3696
41.114594444,16.799002777,,Point,Telecom Italia S.p.A.,Bari,Bari ---- Via maestri del lavoro 4,3697
40.391944444,17.639777777,,Point,Iliad Italia s.p.a,Manduria,Manduria ---- Via Perdonanze 40,3698
40.861925,16.79865,,Point,Iliad Italia s.p.a,Acquaviva delle Fonti,Acquaviva delle Fonti ---- Contrada Curtomartino n.d. Fg. 81 P.lla 435,3699
40.66025,17.286722222,,Point,Wind Tre s.p.a.,Martina Franca,Martina Franca ---- Contrada Fragneto c/o Sito RAIWAY snc,3700
40.962827777,16.074,,Point,Iliad Italia s.p.a,Spinazzola,Spinazzola ---- Strada Provinciale SP 65 snc,3701
40.527416666,17.425527777,,Point,Wind Tre s.p.a.,Grottaglie,Grottaglie ---- Via Mediterraneo 9,3702
41.128166666,16.554344444,,Point,Telecom Italia S.p.A.,Terlizzi,Terlizzi ---- Via Roma c/o Campo sportivo comunale s.n.c. - Linkem - Telecom,3703
41.128166666,16.554344444,,Point,Linkem,Terlizzi,Terlizzi ---- Via Roma c/o Campo sportivo comunale s.n.c. - Linkem - Telecom,3704
41.316008333,16.185713888,,Point,Iliad Italia s.p.a,Barletta,Barletta ---- Strada Provinciale SP 3 snc,3705
41.136625,16.401402777,,Point,Iliad Italia s.p.a,Corato,Corato ---- Contrada Cisterna della Gallina n.d.,3706
41.147555555,16.400305555,,Point,Wind Tre s.p.a.,Corato,Corato ---- Località Zona Industriale n.d. c/o Ceramica Base,3707
41.084805555,16.838777777,,Point,Vodafone Italia S.p.A.,Bari,Bari ---- Località c/o Stadio San Nicola snc,3708
41.084805555,16.838777777,,Point,Wind Tre s.p.a.,Bari,Bari ---- Località c/o Stadio San Nicola snc,3709
39.955969444,18.065286111,,Point,Vodafone Italia S.p.A.,Racale,Racale ---- Contrada Li Specchi snc,3710
41.090930555,16.880952777,,Point,Vodafone Italia S.p.A.,Bari,Bari ---- Via Vassallo 35,3711
41.090930555,16.880952777,,Point,Telecom Italia S.p.A.,Bari,Bari ---- Via Vassallo 35,3712
40.381644444,18.118577777,,Point,Iliad Italia s.p.a,Lecce,Lecce ---- Viale Norvegia snc,3713
40.036791666,18.029166666,,Point,Vodafone Italia S.p.A.,Gallipoli,Gallipoli ---- Contrada Monaci snc,3714
40.036791666,18.029166666,,Point,Telecom Italia S.p.A.,Gallipoli,Gallipoli ---- Contrada Monaci snc,3715
40.793027777,17.215888888,,Point,Vodafone Italia S.p.A.,Alberobello,Alberobello ---- Contrada Monte La Guardia (Fg. 28 P.lla 475) snc,3716
40.793194444,17.215805555,,Point,Wind Tre s.p.a.,Alberobello,Alberobello ---- Contrada MONTE LA GUARDIA WIND FG28 PLLA 476 snc,3717
41.42175,15.522305555,,Point,Iliad Italia s.p.a,Foggia,Foggia ---- Località Tratturo Castelluccio snc,3718
41.024161111,16.933775,,Point,Iliad Italia s.p.a,Cellamare,Cellamare ---- Contrada Passione snc,3719
40.839225,16.526280555,,Point,Iliad Italia s.p.a,Altamura,Altamura ---- Strada Provinciale SP238 n.d. Km 52.100,3720
40.072027777,18.157194444,,Point,Wind Tre s.p.a.,Collepasso,Collepasso ---- Via Foscolo c/o campo sportivo snc,3721
40.954944444,16.383138888,,Point,Wind Tre s.p.a.,Altamura,Altamura ---- Strada Provinciale SP238- Loc. Franchini km 32.4,3722
40.397113888,17.259238888,,Point,Vodafone Italia S.p.A.,Taranto,Taranto ---- Via Lama 260,3723
40.435277777,17.738305555,,Point,Telecom Italia S.p.A.,Erchie,Erchie ---- Via Zara 54,3724
41.111555555,16.869277777,,Point,Vodafone Italia S.p.A.,Bari,Bari ---- Via Pasubio 119,3725
41.111555555,16.869277777,,Point,Telecom Italia S.p.A.,Bari,Bari ---- Via Pasubio 119,3726
41.413138888,15.638666666,,Point,Linkem S.p.A.,Foggia,Foggia ---- Strada Statale 16 - Zona ASI Incoronata snc,3727
39.950944444,18.302244444,,Point,Wind Tre s.p.a.,Specchia,Specchia ---- Strada Provinciale 181 snc,3728
